repo,event_type,event_name,event_quarter,dating_method,confidence,in_window,verified,debt_event,verified_date,source,notes
PostHog/posthog,full_rewrite,No dated in-window event (rewrite wave 2026-Q2 candidate),,fuzzy,low,,0,0,,git log local clone,No in-window dated rebuild; 'rewrite' commits cluster 2026-05/06 (18 in 2026-06) = candidate event in extended panel; check PostHog blog before using
Infisical/infisical,migration,MongoDB to PostgreSQL migration,2024-Q1,named_release,high,1,1,1,2024-03-25,https://infisical.com/blog/postgresql-migration,Blog announced Mongo deprecation 2024-03-25; postgres commits begin 2023-12-04 with density peak 2024-02 (local clone) — execution window 2023-Q4..2024-Q1
dagger/dagger,full_rewrite,Project Zenith engine/API rewrite (v0.9.0),2023-Q4,named_release,high,1,1,1,2023-10-20,git tag v0.9.0 2023-10-20 (local clone),CORRECTION: earlier research called this 'Project Theseus' — only 2 Theseus commits exist (both 2026); Zenith has 53 commits 2023-08..2024-03 peaking 2023-Q4. Theseus name was erroneous
triggerdotdev/trigger.dev,full_rewrite,v3 rewrite,2024-Q3,named_release,high,1,1,1,2024-09-18,git tag v.docker.3.0.4 2024-09-18 (local clone),CORRECTED from 2024-Q2: v3 betas from 2024-07; first stable docker v3 tags 2024-09-18
appwrite/appwrite,full_rewrite,v2.0 execution engine rewrite,,right_censored,high,0,1,0,,git tags (local clone): max version 1.9.5 at 2026-06,Right-censoring CONFIRMED: no 2.x tag exists through 2026-06; excluded from main spec per decision 4.6
airbytehq/airbyte,migration,Python CDK v2 / CDK extraction,,fuzzy,low,,0,0,,git log local clone,CDK evolution is continuous in monorepo; CDK extracted to airbytehq/airbyte-python-cdk ~late 2024; no clean in-repo event date — candidate control
zed-industries/zed,transition,Full OSS transition,2024-Q1,named_release,high,1,1,0,2024-01-24,https://zed.dev/blog/zed-is-now-open-source,NOT debt-driven (licensing/architecture decision). NOTE: repo includes pre-2024 commit history (published at open-sourcing) — commits NOT left-censored; issues/PRs are
LedgerHQ/ledger-live,migration,Monorepo to turborepo migration,,pre_window,medium,0,0,0,,,Migration ~2022 = pre-window; use as control
weaviate/weaviate,migration,gRPC API + Python client v4 GA,2024-Q1,named_release,medium,1,1,1,2024-02-01,https://weaviate.io/blog/py-client-v4-release,Client v4 GA 2024-02-01; caveat: client lives in separate repo — server-repo gRPC work is in-window but storage-layer rewrite remains undated
astral-sh/ruff,full_rewrite,Continuous Rust rewriting; OpenAI acquisition break,,fuzzy,low,,1,0,2026-03-19,https://openai.com/index/openai-to-acquire-astral/,Greenfield rewriting is continuous (no event). STRUCTURAL BREAK: OpenAI acquisition announced 2026-03-19 = 2026-Q1 flag in extended panel
inngest/inngest,full_rewrite,Server v1.0.0 GA (execution model stabilization),2024-Q3,named_release,low,1,1,1,2024-09-20,git tag v1.0.0 2024-09-20 (local clone),RE-ANCHORED: the documented 'v1->v2 SDK rewrite' lives in the separate inngest-js repo (event-repo mismatch); server v1.0.0 GA used instead — treat with caution
milvus-io/milvus,full_rewrite,v2.0 Python to Go+Rust rewrite,,pre_window,high,0,1,0,,shallow clone tags start v2.3.0 2023-08-23; v2.0 GA 2021,PRE-WINDOW confirmed; event_type in 08 panel is wrong for this window; use as control
tursodatabase/libsql,pivot,ChiselStrike to Turso pivot,2023-Q1,named_release,high,1,1,0,2023-01-30,https://turso.tech/blog/announcing-chiselstrike-turso-164472456b29,CORRECTED from 2023-Q2: Turso announced 2023-01-30. NOT debt-driven (product pivot); libSQL folded into Turso family 2023-10
qdrant/qdrant,fuzzy,Iterative storage engine evolution,,peak_refactor,medium,1,0,1,,computed from panel (peak refactor-PR quarter),Fuzzy by design; debt-relevant iterative rationalization; event quarter computed at build time
