id,name,github_org_url,primary_repo_url,country,category,product_type,maturity,known_rationalization_event,contactability,key_metadata,flag,source_agent,status
1,Langfuse,https://github.com/langfuse,https://github.com/langfuse/langfuse,Germany,Startup,LLM Observability,Growth,Unknown (ClickHouse migration partial),High,"YC W23; co-founded 2023 by Clemens Rohler & Marc Klingen",,Agent D,ACTIVE
2,Helicone,https://github.com/Helicone,https://github.com/Helicone/helicone,USA,Startup,LLM Observability,Growth,Unknown,High,"YC W23; open-core AI gateway model",,Agent D,ACTIVE
3,Infisical,https://github.com/Infisical,https://github.com/Infisical/infisical,USA,Startup,Secret Management,Growth,"Yes — MongoDB to PostgreSQL migration (documented PRs + blog)",High,"YC W23; Series A; Maidul Islam (CEO) identifiable",,Agent D,ACTIVE
4,Trigger.dev,https://github.com/triggerdotdev,https://github.com/triggerdotdev/trigger.dev,Ireland,Startup,Workflow Automation,Growth,"Yes — v3 complete rewrite (new runtime, documented changelog)",High,"YC W23; Series A; Matt Aitken (CEO) identifiable",Flag: Ireland HQ,Agent D,ACTIVE
5,Dub.co,https://github.com/dubinc,https://github.com/dubinc/dub,USA,Startup,Link Management,Growth,Unknown,High,"YC S23; Steven Tey (founder); 20k+ stars",,Agent D,ACTIVE
6,Windmill,https://github.com/windmill-labs,https://github.com/windmill-labs/windmill,France,Startup,Internal Tools,Growth,Partial — iterative architectural changes,Medium,"YC S22; 16k+ commits; Ruben Fiszel (solo-ish founder)","Flag: France HQ; small team",Agent D,ACTIVE
7,Novu,https://github.com/novuhq,https://github.com/novuhq/novu,Israel,Startup,Notification Infrastructure,Growth,"Yes — v2.0 framework rewrite (new inbox/workflows layer)",High,"Crane Venture-backed; v2 rewrite 2024",Flag: Israel HQ,Agent D,ACTIVE
8,Plane,https://github.com/makeplane,https://github.com/makeplane/plane,"India/USA",Startup,Project Management,Growth,"Yes — React to Next.js migration (1924 refactor PRs)",Medium,"OSS Capital-backed; India engineering ops",Flag: India ops,Agent D,ACTIVE
9,Documenso,https://github.com/documenso,https://github.com/documenso/documenso,"Germany/USA",Startup,eSignature,Early,Unknown,High,"OSS Capital-backed; single monorepo",,Agent D,ACTIVE
10,Formbricks,https://github.com/formbricks,https://github.com/formbricks/formbricks,Germany,Startup,Survey/Feedback,Early,Unknown,High,"GitHub Accelerator cohort; lean team","Flag: Germany; early-stage",Agent D,ACTIVE
11,PostHog,https://github.com/PostHog,https://github.com/PostHog/posthog,UK,Startup,Product Analytics,Mature,"Yes — AI arch rebuilt twice (documented blog)",High,"YC W20; Series C; Tim Glaser (CTO) identifiable",,Agent D,ACTIVE
12,Cal.com,https://github.com/calcom,https://github.com/calcom/cal.com,USA,Startup,Scheduling,Growth,Partial — licensing shift 2025 + major scope expansion,High,"OSS Capital; Peer Richelsen (founder)",Flag: partial closed-source 2025,Agent D,ACTIVE
13,Chatwoot,https://github.com/chatwoot,https://github.com/chatwoot/chatwoot,"India/USA",Startup,Customer Support,Mature,Unknown,Medium,"YC W21; Ruby on Rails; India engineering",Flag: India ops,Agent D,ACTIVE
14,Zed Industries,https://github.com/zed-industries,https://github.com/zed-industries/zed,USA,Startup,Code Editor,Growth,"Yes — full OSS transition Jan 2024 (entire codebase released)",High,"Sequoia Series B; Nathan Sobo (CEO)",Flag: pre-2024 history absent,Agent D,ACTIVE
15,Inngest,https://github.com/inngest,https://github.com/inngest/inngest,USA,Startup,Event Workflows,Growth,"Yes — v1.0 OSS engine rewrite (Go execution engine)",High,"YC W22; Tony Holdstock-Brown (CEO)",,Agent D,ACTIVE
16,Hoppscotch,https://github.com/hoppscotch,https://github.com/hoppscotch/hoppscotch,India,Startup,API Dev Tools,Growth,Unknown,Medium,"OSS Capital; 75k+ stars; large community","Flag: India HQ; community-driven",Agent D,ACTIVE
