TWFE illustration: outcome ~ post_adoption + repo FE + quarter FE
NAIVE SEs, 14 units — design prototype ONLY; the CS estimator is reserved for the scaled sample.

outcome                           beta       se     n
refactor_commit_share           0.0040   0.0057   196
pr_refactor_ratio               0.0211   0.0146   196
pr_review_latency_median       -0.1304   0.1430   196
churn_per_commit              -95.5707 154.1364   196
backlog_per_contrib            -1.7991   0.8581   196
turnover_core                  -0.0274   0.0497   154

Adoption dates (adoption_q = min(marker_q, coauthor_q)):
                     repo marker_q coauthor_q adoption_q
          PostHog/posthog  2025-Q1    2025-Q2    2025-Q1
      Infisical/infisical  2026-Q1    2026-Q1    2026-Q1
            dagger/dagger  2026-Q1    2026-Q1    2026-Q1
triggerdotdev/trigger.dev  2024-Q4    2026-Q1    2024-Q4
        appwrite/appwrite  2025-Q4    2025-Q3    2025-Q3
        airbytehq/airbyte  2026-Q1    2025-Q1    2025-Q1
       zed-industries/zed  2025-Q2    2024-Q2    2024-Q2
     LedgerHQ/ledger-live  2025-Q4    2025-Q4    2025-Q4
        weaviate/weaviate  2026-Q1    2025-Q4    2025-Q4
           astral-sh/ruff  2026-Q1    2025-Q3    2025-Q3
          inngest/inngest  2025-Q4    2025-Q2    2025-Q2
         milvus-io/milvus  2026-Q1    2026-Q1    2026-Q1
     tursodatabase/libsql        —          —          —
            qdrant/qdrant        —    2025-Q2    2025-Q2

Identification note for the paper: adoption timing is plausibly driven by AI tool releases x repo exposure (PostHog CLAUDE.md 2025-02-25, ~3 weeks after Claude Code launch). Marker-based dating scales to samples far beyond the contact-constrained pilot without per-org confirmation.
